Lead Gene name	Lead Protein ID	Lead Protein name	Mol. weight [kDa]	Sequence length (AA)	Total MS/MS Count	Organellar profiles in how many maps?	Compartment Prediction	Prediction Confidence	Prediction Score	Sub compart-ment Prediction	Cytosolic Pool	Non-cytosolic pool1 	Global classifier2	Estimated Copy number per cell	Copy number Abundance Percentile	Median cellular con-centration [nM]	 Contribution to cell protein mass [ppm]
BSDC1	Q9NW68	BSD domain-containing protein 1	47.2	430	329	6	Golgi	High	31.1		49%	51%	Organellar and Cytosolic	50,220	41.4	31.1	7.4
CASC4	Q6P4E1	Protein CASC4	48.9	433	351	6	Golgi	High	22.8		0%	100%	Mostly Organellar	68,676	46.6	42.5	10.4
DUT	P33316-2	Deoxyuridine 5-triphosphate nucleotidohydrolase, mitochondrial	17.7	164	1486	6	Golgi	High	16.1		90%	10%	Mostly Cytosolic	6,550,158	96.9	4052.1	361.4
GALNT2	Q10471	Polypeptide N-acetylgalactosaminyltransferase 2	64.7	571	3726	6	Golgi	High	16.1		1%	99%	Mostly Organellar	1,242,922	87.8	768.9	250.1
GARS	P41250	Glycine--tRNA ligase	83.2	739	2487	6	Golgi	High	23.1		88%	12%	Mostly Cytosolic	3,009,638	94.0	1861.8	778.1
GLT8D1	Q68CQ7	Glycosyltransferase 8 domain-containing protein 1	41.9	371	364	6	Golgi	High	16.5		0%	100%	Mostly Organellar	78,125	49.0	48.3	10.2
KIAA2013	Q8IYS2	Uncharacterized protein KIAA2013	69.2	634	300	6	Golgi	High	43.2		0%	100%	Mostly Organellar	39,423	37.8	24.4	8.5
MAN1B1	Q9UKM7	Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase	79.6	699	599	6	Golgi	High	23.2		0%	100%	Mostly Organellar	59,365	44.2	36.7	14.7
MBLAC2	Q68D91	Metallo-beta-lactamase domain-containing protein 2	31.4	279	578	6	Golgi	High	46.6		0%	100%	Mostly Organellar	88,992	51.2	55.1	8.7
MGAT1	P26572	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	50.9	445	226	6	Golgi	High	41.9		0%	100%	Mostly Organellar	26,228	31.5	16.2	4.1
NIF3L1	Q9GZT8	NIF3-like protein 1	42.0	377	402	6	Golgi	High	24.4		91%	9%	Mostly Cytosolic	393,100	74.4	243.2	51.3
PREPL	Q4J6C6	Prolyl endopeptidase-like	83.9	727	791	6	Golgi	High	17		89%	11%	Mostly Cytosolic	267,916	68.8	165.7	69.9
PRKACA	P17612	cAMP-dependent protein kinase catalytic subunit alpha	40.6	351	655	6	Golgi	High	37.5		79%	21%	Broad distribution	487,543	77.4	301.6	61.5
PRKACB	P22694	cAMP-dependent protein kinase catalytic subunit beta	40.6	351	146	6	Golgi	High	23.9		83%	17%	Broad distribution	96,527	52.6	59.7	12.2
SGMS1	Q86VZ5	Phosphatidylcholine:ceramide cholinephosphotransferase 1	49.2	419	281	6	Golgi	High	21.5		0%	100%	Mostly Organellar	31,645	34.4	19.6	4.8
SLC35E1	Q96K37	Solute carrier family 35 member E1	44.8	410	505	6	Golgi	High	20.6		0%	100%	Mostly Organellar	74,970	48.2	46.4	10.4
TM9SF1	O15321	Transmembrane 9 superfamily member 1	68.9	606	508	6	Golgi	High	43.1		0%	100%	Mostly Organellar	77,259	48.8	47.8	16.5
TM9SF2	Q99805	Transmembrane 9 superfamily member 2	75.8	663	1831	6	Golgi	High	16		1%	99%	Mostly Organellar	323,360	71.8	200.0	76.2
TM9SF3	Q9HD45	Transmembrane 9 superfamily member 3	67.9	589	1612	6	Golgi	High	21.8		1%	99%	Mostly Organellar	353,791	73.0	218.9	74.7
TM9SF4	Q92544	Transmembrane 9 superfamily member 4	74.5	642	1397	6	Golgi	High	20		0%	100%	Mostly Organellar	238,034	67.1	147.3	55.1
TMEM165	Q9HC07	Transmembrane protein 165	34.9	324	788	6	Golgi	High	46.7		1%	99%	Mostly Organellar	291,960	70.0	180.6	31.7
TNS1	Q9HBL0	Tensin-1	185.7	1735	1413	6	Golgi	High	23.9		19%	81%	Organellar and Cytosolic	76,054	48.5	47.0	43.9
TRMT1	Q9NXH9	tRNA (guanine(26)-N(2))-dimethyltransferase	72.2	659	710	6	Golgi	High	26.5		93%	7%	Mostly Cytosolic	561,955	79.3	347.6	126.2
UBIAD1	Q9Y5Z9	UbiA prenyltransferase domain-containing protein 1	36.8	338	97	4	Golgi	High	25.5		0%	100%	Mostly Organellar	27,451	32.2	17.0	3.1
ZFPL1	O95159	Zinc finger protein-like 1	34.1	310	472	6	Golgi	High	35.8		0%	100%	Mostly Organellar	131,726	57.5	81.5	14.0
AHNAK	Q09666	Neuroblast differentiation-associated protein AHNAK	629.1	5890	45441	6	Golgi	Medium	5.1		5%	95%	Mostly Organellar	3,022,550	94.0	1869.8	5911.3
ARF1	P84077	ADP-ribosylation factor 1	20.7	181	1068	6	Golgi	Medium	8.4		82%	18%	Broad distribution	8,762,005	97.7	5420.3	563.8
ARFGAP3	Q9NP61	ADP-ribosylation factor GTPase-activating protein 3	56.9	516	349	6	Golgi	Medium	4.7		57%	43%	Broad distribution	85,259	50.5	52.7	15.1
ARFIP2	P53365	Arfaptin-2	37.9	341	420	6	Golgi	Medium	6.7		76%	24%	Broad distribution	216,966	65.4	134.2	25.5
ARHGAP12	Q8IWW6	Rho GTPase-activating protein 12	96.3	846	671	6	Golgi	Medium	5.3		42%	58%	Organellar and Cytosolic	68,185	46.5	42.2	20.4
B3GAT3	O94766	Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3	37.1	335	217	5	Golgi	Medium	13.6		0%	100%	Mostly Organellar	45,796	40.0	28.3	5.3
B4GALT4	O60513	Beta-1,4-galactosyltransferase 4	40.0	344	164	2	Golgi	Medium	5.1		0%	100%	Mostly Organellar	17,992	26.1	11.1	2.2
B4GALT5	O43286	Beta-1,4-galactosyltransferase 5	45.1	388	204	6	Golgi	Medium	5.5		2%	98%	Mostly Organellar	51,240	41.8	31.7	7.2
BPNT1	O95861	3(2),5-bisphosphate nucleotidase 1	33.4	308	508	6	Golgi	Medium	9.2		95%	5%	Mostly Cytosolic	1,083,645	86.5	670.4	112.5
C1GALT1	Q9NS00	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	42.2	363	198	4	Golgi	Medium	5.8		0%	100%	Mostly Organellar	23,856	30.2	14.8	3.1
C3orf58	Q8NDZ4	Deleted in autism protein 1	49.5	430	284	6	Golgi	Medium	8.4		0%	100%	Mostly Organellar	29,956	33.6	18.5	4.6
CAV2	P51636	Caveolin-2	18.3	162	225	6	Golgi	Medium	8.6		1%	99%	Mostly Organellar	224,256	66.0	138.7	12.8
CHST14	Q8NCH0	Carbohydrate sulfotransferase 14	43.0	376	228	5	Golgi	Medium	5.7		0%	100%	Mostly Organellar	32,281	34.7	20.0	4.3
CNN2	Q99439	Calponin-2	33.7	309	901	6	Golgi	Medium	8		79%	21%	Nuclear and Cytosolic	1,152,240	87.0	712.8	120.7
COASY	Q13057	Bifunctional coenzyme A synthase	62.3	564	622	6	Golgi	Medium	12		85%	15%	Mostly Cytosolic	513,620	78.1	317.7	99.5
COG1	Q8WTW3	Conserved oligomeric Golgi complex subunit 1	109.0	980	290	4	Golgi	Medium	15.2		88%	12%	Mostly Cytosolic	50,994	41.8	31.5	17.3
COG2	Q14746	Conserved oligomeric Golgi complex subunit 2	83.2	738	320	6	Golgi	Medium	6		80%	20%	Broad distribution	72,257	47.5	44.7	18.7
COG3	Q96JB2	Conserved oligomeric Golgi complex subunit 3	94.1	828	333	4	Golgi	Medium	6		86%	14%	Mostly Cytosolic	67,125	46.2	41.5	19.6
COG4	Q9H9E3	Conserved oligomeric Golgi complex subunit 4	89.1	785	347	5	Golgi	Medium	7.9		88%	12%	Mostly Cytosolic	76,658	48.6	47.4	21.2
COG5	Q9UP83	Conserved oligomeric Golgi complex subunit 5	92.7	839	325	6	Golgi	Medium	12.5		91%	9%	Mostly Cytosolic	113,916	55.4	70.5	32.8
CRIP2	P52943	Cysteine-rich protein 2	22.5	208	1477	6	Golgi	Medium	9.8		42%	58%	Organellar and Cytosolic	2,404,068	92.7	1487.2	168.1
CUX1	Q13948	Protein CASP	77.5	678	135	3	Golgi	Medium	5.6		0%	100%	Mostly Organellar	7,881	16.0	4.9	1.9
FAM3A	P98173-3	Protein FAM3A	21.2	192	153	3	Golgi	Medium	4.8		0%	100%	Mostly Organellar	44,373	39.4	27.5	2.9
FAM3C	Q92520	Protein FAM3C	24.7	227	1002	6	Golgi	Medium	12		0%	100%	Mostly Organellar	579,890	79.7	358.7	44.5
GALNT10	Q86SR1	Polypeptide N-acetylgalactosaminyltransferase 10	69.0	603	105	2	Golgi	Medium	13.7		0%	100%	Mostly Organellar	7,136	15.0	4.4	1.5
GLG1	Q92896-2	Golgi apparatus protein 1	137.2	1203	4548	6	Golgi	Medium	13.9		0%	100%	Mostly Organellar	454,977	76.5	281.5	194.1
GOLGA2	Q08379	Golgin subfamily A member 2	113.1	1002	3003	6	Golgi	Medium	9.4		12%	88%	Mostly Organellar	257,744	68.1	159.4	90.6
GOLGA5	Q8TBA6	Golgin subfamily A member 5	83.0	731	694	6	Golgi	Medium	7.4		0%	100%	Mostly Organellar	47,633	40.6	29.5	12.3
GOLM1	Q8NBJ4	Golgi membrane protein 1	45.3	401	1505	6	Golgi	Medium	5.4		1%	99%	Mostly Organellar	292,065	70.1	180.7	41.2
GORASP2	Q9H8Y8	Golgi reassembly-stacking protein 2	47.1	452	815	6	Golgi	Medium	10.2		55%	45%	Organellar and Cytosolic	491,318	77.4	303.9	72.0
GOSR1	O95249	Golgi SNAP receptor complex member 1	28.6	250	569	6	Golgi	Medium	5		1%	99%	Mostly Organellar	253,901	67.9	157.1	22.6
GPR108	Q9NPR9	Protein GPR108	60.6	543	273	6	Golgi	Medium	4.9		2%	98%	Mostly Organellar	24,101	30.3	14.9	4.5
HINT3	Q9NQE9	Histidine triad nucleotide-binding protein 3	20.4	182	391	6	Golgi	Medium	6.7		31%	69%	Organellar and Cytosolic	174,624	62.0	108.0	11.1
HS2ST1	Q7LGA3	Heparan sulfate 2-O-sulfotransferase 1	41.9	356	332	6	Golgi	Medium	7		15%	85%	Mostly Organellar	93,274	51.9	57.7	12.1
HTATIP2	Q9BUP3-3	Oxidoreductase HTATIP2	30.1	276	1378	6	Golgi	Medium	10.8		14%	86%	Mostly Organellar	1,178,690	87.3	729.2	110.4
HTRA1	Q92743	Serine protease HTRA1	51.3	480	234	6	Golgi	Medium	6.6		5%	95%	Mostly Organellar	15,723	24.3	9.7	2.5
IDI1	Q13907	Isopentenyl-diphosphate Delta-isomerase 1	26.3	227	599	6	Golgi	Medium	6.1		89%	11%	Mostly Cytosolic	2,085,995	91.8	1290.4	170.7
LPP	Q93052	Lipoma-preferred partner	65.7	612	978	6	Golgi	Medium	5.3		86%	14%	Mostly Cytosolic	579,737	79.7	358.6	118.5
LYPLA2	O95372	Acyl-protein thioesterase 2	24.7	231	249	6	Golgi	Medium	4.3		94%	6%	Mostly Cytosolic	753,456	83.0	466.1	57.9
MAN1A2	O60476	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB	73.0	641	454	6	Golgi	Medium	5.6		0%	100%	Mostly Organellar	36,064	36.4	22.3	8.2
MGAT5	Q09328	Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A	84.5	741	185	3	Golgi	Medium	9.1		0%	100%	Mostly Organellar	10,643	19.6	6.6	2.8
OSBPL11	Q9BXB4	Oxysterol-binding protein-related protein 11	83.6	747	734	6	Golgi	Medium	11.6		72%	28%	Organellar and Cytosolic	134,766	57.9	83.4	35.0
PHLDB2	Q86SQ0	Pleckstrin homology-like domain family B member 2	142.2	1253	477	6	Golgi	Medium	5.8		19%	81%	Broad distribution	33,123	35.0	20.5	14.6
PIP4K2C	Q8TBX8	Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	47.3	421	543	6	Golgi	Medium	5.4		50%	50%	Organellar and Cytosolic	205,023	64.5	126.8	30.1
PITPNB	P48739	Phosphatidylinositol transfer protein beta isoform	31.5	271	904	6	Golgi	Medium	13.8		92%	8%	Mostly Cytosolic	2,377,201	92.6	1470.6	233.1
PKP4	Q99569-2	Plakophilin-4	127.1	1149	609	6	Golgi	Medium	15.5		0%	100%	Mostly Organellar	33,356	35.1	20.6	13.2
POMGNT1	Q8WZA1	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1	75.3	660	158	2	Golgi	Medium	7.2		0%	100%	Mostly Organellar	13,451	22.3	8.3	3.1
PPL	O60437	Periplakin	204.7	1756	657	6	Golgi	Medium	12		36%	64%	Organellar and Cytosolic	30,982	34.2	19.2	19.7
PPM1L	Q5SGD2	Protein phosphatase 1L	41.1	360	287	6	Golgi	Medium	15.5		1%	99%	Mostly Organellar	25,775	31.1	15.9	3.3
PRKAR2A	P13861	cAMP-dependent protein kinase type II-alpha regulatory subunit	45.5	404	1362	6	Golgi	Medium	8.8		63%	37%	Organellar and Cytosolic	820,284	83.9	507.4	116.1
PTRHD1	Q6GMV3	Putative peptidyl-tRNA hydrolase PTRHD1	15.8	140	136	3	Golgi	Medium	7		88%	12%	Mostly Cytosolic	836,380	84.1	517.4	41.1
RAB10	P61026	Ras-related protein Rab-10	22.5	200	1212	6	Golgi	Medium	4.2		29%	71%	Organellar and Cytosolic	1,901,115	91.2	1176.1	133.2
RHOBTB3	O94955	Rho-related BTB domain-containing protein 3	69.4	611	64	2	Golgi	Medium	4.8		0%	100%	Mostly Organellar	3,852	9.3	2.4	0.8
RHOC	P08134	Rho-related GTP-binding protein RhoC	22.0	193	221	6	Golgi	Medium	6.2		82%	18%	Broad distribution	310,886	71.2	192.3	21.3
RSPRY1	Q96DX4	RING finger and SPRY domain-containing protein 1	64.2	576	276	5	Golgi	Medium	6.4		6%	94%	Mostly Organellar	35,283	35.9	21.8	7.0
SDF4	Q9BRK5	45 kDa calcium-binding protein	41.8	362	1597	6	Golgi	Medium	10.3		3%	97%	Mostly Organellar	391,921	74.4	242.4	50.9
SLC30A6	Q6NXT4	Zinc transporter 6	51.1	461	287	6	Golgi	Medium	13.9		0%	100%	Mostly Organellar	46,634	40.3	28.8	7.4
SLC35B2	Q8TB61	Adenosine 3-phospho 5-phosphosulfate transporter 1	47.5	432	787	6	Golgi	Medium	5.9		0%	100%	Mostly Organellar	371,271	73.7	229.7	54.8
SORBS2	O94875-11	Sorbin and SH3 domain-containing protein 2	134.6	1200	1270	6	Golgi	Medium	5.6		2%	98%	Mostly Organellar	123,680	56.6	76.5	51.7
SPG20	Q8N0X7	Spartin	72.8	666	791	6	Golgi	Medium	5.3		80%	20%	Broad distribution	283,626	69.7	175.5	64.2
ST3GAL4	Q11206	CMP-N-acetylneuraminate-beta-galactosamide-alpha-2,3-sialyltransferase 4	38.0	333	250	5	Golgi	Medium	10.5		0%	100%	Mostly Organellar	32,434	34.7	20.1	3.8
TAGLN2	P37802	Transgelin-2	22.4	199	2950	6	Golgi	Medium	7.3		83%	17%	Broad distribution	20,575,531	99.4	12728.4	1432.3
TBC1D23	Q9NUY8	TBC1 domain family member 23	78.3	699	458	6	Golgi	Medium	5.9		73%	27%	Broad distribution	68,421	46.5	42.3	16.7
TMEM115	Q12893	Transmembrane protein 115	38.2	351	127	2	Golgi	Medium	6.6		0%	100%	Mostly Organellar	24,582	30.5	15.2	2.9
TMEM87B	Q96K49	Transmembrane protein 87B	63.5	555	255	6	Golgi	Medium	5		5%	95%	Mostly Organellar	26,920	31.9	16.7	5.3
TMF1	P82094	TATA element modulatory factor	122.8	1093	879	6	Golgi	Medium	6.8		4%	96%	Mostly Organellar	42,905	39.0	26.5	16.4
TWF2	Q6IBS0	Twinfilin-2	39.5	349	434	6	Golgi	Medium	9.3		92%	8%	Mostly Cytosolic	502,142	77.7	310.6	61.7
UMPS	P11172	Uridine 5-monophosphate synthase	52.2	480	775	6	Golgi	Medium	15.2		92%	8%	Mostly Cytosolic	1,032,038	86.0	638.4	167.5
UXS1	Q8NBZ7	UDP-glucuronic acid decarboxylase 1	47.6	420	245	6	Golgi	Medium	10.7		59%	41%	Organellar and Cytosolic	91,088	51.6	56.3	13.5
ZDHHC13	Q8IUH4	Palmitoyltransferase ZDHHC13	70.9	622	197	5	Golgi	Medium	12.4		0%	100%	Mostly Organellar	17,693	25.9	10.9	3.9
ACBD3	Q9H3P7	Golgi resident protein GCP60	60.6	528	739	6	Golgi	Low	1.7		90%	10%	Mostly Cytosolic	582,232	79.7	360.2	109.7
ACOT13	Q9NPJ3	Acyl-coenzyme A thioesterase 13	15.0	140	924	6	Golgi	Low	3.8		7%	93%	Mostly Organellar	1,817,998	90.8	1124.6	84.6
AKR7A2	O43488	Aflatoxin B1 aldehyde reductase member 2	39.6	359	283	5	Golgi	Low	3.4		93%	7%	Mostly Cytosolic	389,103	74.3	240.7	47.9
ARL2	P36404	ADP-ribosylation factor-like protein 2	20.9	184	257	6	Golgi	Low	3.8		89%	11%	Mostly Cytosolic	612,081	80.4	378.6	39.7
B4GAT1	O43505	Beta-1,4-glucuronyltransferase 1	47.1	415	267	5	Golgi	Low	1.7		0%	100%	Mostly Organellar	46,202	40.1	28.6	6.8
CHD1L	Q86WJ1	Chromodomain-helicase-DNA-binding protein 1-like	101.0	897	561	6	Golgi	Low	3.4		3%	97%	Broad distribution	77,065	48.8	47.7	24.2
CHST3	Q7LGC8	Carbohydrate sulfotransferase 3	54.7	479	263	5	Golgi	Low	3.7		0%	100%	Mostly Organellar	22,100	29.1	13.7	3.8
COG7	P83436	Conserved oligomeric Golgi complex subunit 7	86.3	770	362	5	Golgi	Low	3.9		93%	7%	Mostly Cytosolic	114,923	55.6	71.1	30.8
DRAP1	Q14919	Dr1-associated corepressor	22.4	205	214	4	Golgi	Low	1.5		79%	21%	Nuclear and Cytosolic	810,561	83.7	501.4	56.3
FERMT2	Q96AC1	Fermitin family homolog 2	77.9	680	2500	6	Golgi	Low	1.7		68%	32%	Broad distribution	1,209,211	87.5	748.0	292.7
GOLGA4	Q13439	Golgin subfamily A member 4	261.1	2230	2221	6	Golgi	Low	1.1		49%	51%	Organellar and Cytosolic	72,229	47.5	44.7	58.6
GOLGB1	Q14789	Golgin subfamily B member 1	376.0	3259	92	3	Golgi	Low	1.7		0%	100%	Mostly Organellar	846	1.3	0.5	1.0
GORAB	Q5T7V8	RAB6-interacting golgin	45.0	394	397	6	Golgi	Low	3		16%	84%	Organellar and Cytosolic	74,369	48.1	46.0	10.4
HAGH	Q16775	Hydroxyacylglutathione hydrolase, mitochondrial	33.8	308	758	6	Golgi	Low	3.6		62%	38%	Organellar and Cytosolic	422,751	75.5	261.5	44.4
MFSD5	Q6N075	Molybdate-anion transporter	49.8	450	121	2	Golgi	Low	1.3		0%	100%	Mostly Organellar	11,712	20.8	7.2	1.8
MTFMT	Q96DP5	Methionyl-tRNA formyltransferase, mitochondrial	43.8	389	235	2	Golgi	Low	1.8		18%	82%	Organellar and Cytosolic	25,227	30.9	15.6	3.4
MTMR10	Q9NXD2	Myotubularin-related protein 10	88.3	777	190	5	Golgi	Low	2.2		5%	95%	Mostly Organellar	13,488	22.3	8.3	3.7
NECAP2	Q9NVZ3	Adaptin ear-binding coat-associated protein 2	28.3	263	316	6	Golgi	Low	3.8		25%	75%	Organellar and Cytosolic	86,168	50.6	53.3	7.6
NIPA2	Q8N8Q9	Magnesium transporter NIPA2	39.2	360	128	5	Golgi	Low	3.2		0%	100%	Mostly Organellar	12,195	21.2	7.5	1.5
NME1	P15531	Nucleoside diphosphate kinase A	17.1	152	348	6	Golgi	Low	1.3		84%	16%	Broad distribution	3,299,540	94.5	2041.2	175.9
NUCB1	Q02818	Nucleobindin-1	53.9	461	3312	6	Golgi	Low	3.8		5%	95%	Mostly Organellar	1,114,691	86.8	689.6	186.7
PACSIN3	Q9UKS6	Protein kinase C and casein kinase substrate in neurons protein 3	48.5	424	2521	6	Golgi	Low	3.1		10%	90%	Mostly Organellar	1,000,574	85.8	619.0	150.8
PARK7	Q99497	Protein deglycase DJ-1	19.9	189	1446	6	Golgi	Low	2.5		93%	7%	Mostly Cytosolic	12,495,544	98.7	7730.0	772.7
PNPLA8	Q9NP80	Calcium-independent phospholipase A2-gamma	88.5	782	223	3	Golgi	Low	3.2		4%	96%	Mostly Organellar	11,030	20.0	6.8	3.0
PPFIBP1	Q86W92	Liprin-beta-1	114.0	1011	1895	6	Golgi	Low	1.7		50%	50%	Organellar and Cytosolic	216,536	65.3	134.0	76.8
PTGES2	Q9H7Z7	Prostaglandin E synthase 2	41.9	377	1171	6	Golgi	Low	1.3		7%	93%	Mostly Organellar	515,942	78.1	319.2	67.3
SFT2D3	Q587I9	Vesicle transport protein SFT2C	21.8	215	107	2	Golgi	Low	2.2		0%	100%	Mostly Organellar	28,493	32.9	17.6	1.9
SLC35A1	P78382	CMP-sialic acid transporter	36.8	337	108	3	Golgi	Low	3.5		18%	82%	Organellar and Cytosolic	11,650	20.7	7.2	1.3
SLC35C1	Q96A29-2	GDP-fucose transporter 1	38.2	351	89	2	Golgi	Low	1.6		0%	100%	Mostly Organellar	13,142	22.0	8.1	1.6
SLC39A9	Q9NUM3-3	Zinc transporter ZIP9	24.6	232	21	1	Golgi	Low	3.4		15%	85%	Organellar and Cytosolic	2,203	5.3	1.4	0.2
STRN	O43815	Striatin	86.1	780	1100	6	Golgi	Low	1.8		54%	46%	Organellar and Cytosolic	170,151	61.6	105.3	45.6
STX17	P56962	Syntaxin-17	33.4	302	342	6	Golgi	Low	3.3		7%	93%	Mostly Organellar	56,012	43.3	34.7	5.8
TMEM87A	Q8NBN3	Transmembrane protein 87A	63.4	555	1106	6	Golgi	Low	1.2		5%	95%	Mostly Organellar	131,275	57.5	81.2	25.9
TRIOBP	Q9H2D6	TRIO and F-actin-binding protein	261.4	2365	930	6	Golgi	Low	1.9		11%	89%	Mostly Organellar	36,126	36.4	22.3	29.4
TRIP11	Q15643	Thyroid receptor-interacting protein 11	227.6	1979	2970	6	Golgi	Low	1.8		10%	90%	Mostly Organellar	79,235	49.2	49.0	56.1
VCL	P18206	Vinculin	123.8	1134	5479	6	Golgi	Low	1.4		90%	10%	Mostly Cytosolic	4,336,349	95.7	2682.6	1668.9
XPO1	O14980	Exportin-1	123.4	1071	3018	6	Golgi	Low	1.4		72%	28%	Nuclear and Cytosolic	1,945,983	91.3	1203.8	746.4
YIPF3	Q9GZM5	Protein YIPF3	38.2	350	492	6	Golgi	Low	1		0%	100%	Mostly Organellar	116,793	55.8	72.3	13.9
YKT6	O15498	Synaptobrevin homolog YKT6	22.4	198	397	6	Golgi	Low	1.2		87%	13%	Mostly Cytosolic	893,315	84.7	552.6	62.3
ZDHHC17	Q8IUH5	Palmitoyltransferase ZDHHC17	72.6	632	135	2	Golgi	Low	1.8		0%	100%	Mostly Organellar	12,299	21.4	7.6	2.8
ANKMY2	Q8IV38	Ankyrin repeat and MYND domain-containing protein 2	49.3	441	215	2	Golgi	Very Low	0.4		91%	9%	Mostly Cytosolic	223,587	65.9	138.3	34.3
ANKRD13C	Q8N6S4	Ankyrin repeat domain-containing protein 13C	60.8	541	30	1	Golgi	Very Low	0.5		15%	85%	Mostly Organellar	2,505	6.2	1.5	0.5
ATG3	Q9NT62	Ubiquitin-like-conjugating enzyme ATG3	35.9	314	302	4	Golgi	Very Low	0.7		95%	5%	Mostly Cytosolic	574,188	79.6	355.2	64.0
B4GALT3	O60512	Beta-1,4-galactosyltransferase 3	43.9	393	67	1	Golgi	Very Low	0.8		0%	100%	Mostly Organellar	7,703	15.6	4.8	1.1
BCR	P11274	Breakpoint cluster region protein	142.8	1271	133	1	Golgi	Very Low	0.3		90%	10%	Mostly Cytosolic	34,809	35.8	21.5	15.5
BID	P55957	BH3-interacting domain death agonist	22.0	195	165	2	Golgi	Very Low	0.2		94%	6%	Mostly Cytosolic	359,163	73.2	222.2	24.6
C1GALT1C1	Q96EU7	C1GALT1-specific chaperone 1	36.4	318	140	1	Golgi	Very Low	0.9		0%	100%	Mostly Organellar	20,351	27.7	12.6	2.3
C2orf43	Q9H6V9	UPF0554 protein C2orf43	37.3	325	141	3	Golgi	Very Low	0.2		40%	60%	Organellar and Cytosolic	32,451	34.7	20.1	3.8
CMC2	Q9NRP2	COX assembly mitochondrial protein 2 homolog	9.5	79	458	6	Golgi	Very Low	0.2		5%	95%	Mostly Organellar	756,543	83.1	468.0	22.2
COA5	Q86WW8	Cytochrome c oxidase assembly factor 5	8.4	74	84	1	Golgi	Very Low	0.5		21%	79%	Organellar and Cytosolic	51,142	41.8	31.6	1.3
COG6	Q9Y2V7	Conserved oligomeric Golgi complex subunit 6	73.3	657	175	2	Golgi	Very Low	0.6		93%	7%	Mostly Cytosolic	75,613	48.4	46.8	17.2
CRK	P46108	Adapter molecule crk	33.8	304	234	4	Golgi	Very Low	0.1		96%	4%	Mostly Cytosolic	617,498	80.5	382.0	64.9
CUX1	P39880-3	Homeobox protein cut-like 1	165.7	1516	667	6	Golgi	Very Low	0.8		0%	100%	Mostly Nuclear	125,627	56.7	77.7	64.7
EHBP1L1	Q8N3D4	EH domain-binding protein 1-like protein 1	161.9	1523	975	6	Golgi	Very Low	0.7		59%	41%	Organellar and Cytosolic	89,202	51.3	55.2	44.9
EXTL3	O43909	Exostosin-like 3	104.8	919	123	2	Golgi	Very Low	0.1		0%	100%	Mostly Organellar	4,913	11.4	3.0	1.6
FCHO2	Q0JRZ9	F-BAR domain only protein 2	88.9	810	708	6	Golgi	Very Low	0.7		19%	81%	Broad distribution	82,553	49.9	51.1	22.8
FMNL2	Q96PY5	Formin-like protein 2	123.3	1086	686	6	Golgi	Very Low	0.6		24%	76%	Organellar and Cytosolic	42,972	39.1	26.6	16.5
GCC2	Q8IWJ2	GRIP and coiled-coil domain-containing protein 2	195.9	1684	2339	6	Golgi	Very Low	0.6		30%	70%	Organellar and Cytosolic	98,523	53.0	60.9	60.0
GPD1L	Q8N335	Glycerol-3-phosphate dehydrogenase 1-like protein	38.4	351	334	6	Golgi	Very Low	0.7		87%	13%	Mostly Cytosolic	305,609	70.9	189.1	36.5
LGALS1	P09382	Galectin-1	14.7	135	2337	6	Golgi	Very Low	0.5		85%	15%	Broad distribution	24,432,693	99.5	15114.5	1117.8
MAN1A1	P33908	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA	73.0	653	93	1	Golgi	Very Low	0.2		38%	62%	Organellar and Cytosolic	19,957	27.5	12.3	4.5
MGAT2	Q10469	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	51.6	447	316	6	Golgi	Very Low	0.8		7%	93%	Mostly Organellar	29,209	33.3	18.1	4.7
NME2	P22392-2	Nucleoside diphosphate kinase B	30.1	267	2530	6	Golgi	Very Low	0.7		89%	11%	Mostly Cytosolic	17,667,655	99.2	10929.6	1655.3
NPEPPS	P55786	Puromycin-sensitive aminopeptidase	103.3	919	1910	6	Golgi	Very Low	0.8		95%	5%	Mostly Cytosolic	1,752,061	90.5	1083.9	562.6
PEX5	P50542	Peroxisomal targeting signal 1 receptor	70.9	639	274	3	Golgi	Very Low	0		96%	4%	Mostly Cytosolic	148,970	59.4	92.2	32.8
PROSC	O94903	Proline synthase co-transcribed bacterial homolog protein	30.3	275	141	2	Golgi	Very Low	0.3		96%	4%	Mostly Cytosolic	294,196	70.2	182.0	27.8
SAR1A	Q9NR31	GTP-binding protein SAR1a	22.4	198	569	6	Golgi	Very Low	0.5		87%	13%	Mostly Cytosolic	2,369,530	92.5	1465.8	164.8
SEC14L1	Q92503	SEC14-like protein 1	81.2	715	159	1	Golgi	Very Low	0.9		74%	26%	Nuclear and Cytosolic	34,840	35.8	21.6	8.8
